Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,23141,19,252
6/9/2020,23146,7,74
6/9/2020,23148,Suppressed*,47
6/9/2020,23149,7,176
6/9/2020,23150,88,551
6/9/2020,23153,Suppressed*,45
6/9/2020,23156,5,47
6/9/2020,23160,7,14
6/9/2020,23161,0,3
6/9/2020,23163,0,3
6/9/2020,23168,10,296
6/9/2020,23169,0,40
6/9/2020,23173,Suppressed*,4
6/9/2020,23175,Suppressed*,98
6/9/2020,23176,0,19
6/9/2020,23177,0,21
6/9/2020,23180,0,12
6/9/2020,23181,Suppressed*,188
6/9/2020,23185,159,2156
6/9/2020,23187,Suppressed*,18
6/9/2020,23188,138,1786
6/9/2020,23192,12,178
6/9/2020,23219,20,420
6/9/2020,23220,83,938
6/9/2020,23221,39,510
6/9/2020,23222,128,962
6/9/2020,23223,342,2325
6/9/2020,23224,696,3341
6/9/2020,23225,375,2434
6/9/2020,23226,200,3518
6/9/2020,23227,139,1355
6/9/2020,23228,244,1683
6/9/2020,23229,209,1477
6/9/2020,23230,39,352
6/9/2020,23231,149,1360
6/9/2020,23233,131,1115
6/9/2020,23234,670,2688
6/9/2020,23235,175,1691
6/9/2020,23236,104,1202
6/9/2020,23237,215,1170
6/9/2020,23238,255,1289
6/9/2020,23250,0,3
6/9/2020,23294,113,810
6/9/2020,23301,87,210
6/9/2020,23302,Suppressed*,15
6/9/2020,23303,16,92
6/9/2020,23304,Suppressed*,12
6/9/2020,23306,26,91
6/9/2020,23307,16,49
6/9/2020,23308,51,173
6/9/2020,23310,26,158
6/9/2020,23313,Suppressed*,5
6/9/2020,23314,16,267
6/9/2020,23315,Suppressed*,51
6/9/2020,23316,14,62
6/9/2020,23320,195,4023
6/9/2020,23321,69,1243
6/9/2020,23322,111,1548
6/9/2020,23323,91,1205
6/9/2020,23324,82,759
6/9/2020,23325,56,675
6/9/2020,23336,9,97
6/9/2020,23337,0,16
6/9/2020,23347,17,53
6/9/2020,23350,72,250
6/9/2020,23354,13,35
6/9/2020,23356,Suppressed*,54
6/9/2020,23357,42,91
6/9/2020,23358,0,2
6/9/2020,23359,14,38
6/9/2020,23389,Suppressed*,4
6/9/2020,23395,17,57
6/9/2020,23398,Suppressed*,15
6/9/2020,23401,6,26
6/9/2020,23405,10,46
6/9/2020,23407,60,123
6/9/2020,23408,Suppressed*,8
6/9/2020,23409,Suppressed*,8
6/9/2020,23410,61,195
6/9/2020,23413,80,273
6/9/2020,23414,33,73
6/9/2020,23415,37,179
6/9/2020,23416,12,83
6/9/2020,23417,84,258
6/9/2020,23418,65,142
6/9/2020,23420,83,216
6/9/2020,23421,175,724
6/9/2020,23422,7,24
6/9/2020,23423,Suppressed*,12
6/9/2020,23426,5,11
6/9/2020,23427,5,15
6/9/2020,23430,41,529
6/9/2020,23432,7,45
6/9/2020,23433,0,44
6/9/2020,23434,184,2479
6/9/2020,23435,121,1140
6/9/2020,23436,0,28
6/9/2020,23437,6,170
6/9/2020,23438,Suppressed*,82
6/9/2020,23440,0,8
6/9/2020,23441,36,68
6/9/2020,23442,24,131
6/9/2020,23451,63,1644
6/9/2020,23452,126,2528
6/9/2020,23453,56,1258
6/9/2020,23454,119,2340
6/9/2020,23455,61,1826
6/9/2020,23456,87,2004
6/9/2020,23457,7,139
6/9/2020,23459,Suppressed*,90
6/9/2020,23460,Suppressed*,26
6/9/2020,23461,0,51
